Project name,Status,Owner,Priority,Completion,Tasks,Summary
GAM Attribution & Reporting,In Progress,Logan Lorenz,High,0.3333333333333333,"Deploy Mula update to pass KVPs in GAM (https://www.notion.so/Deploy-Mula-update-to-pass-KVPs-in-GAM-26c03985e9be807291a0fe822261dc90?pvs=21), Confirm GAM Reporting for KVPs (https://www.notion.so/Confirm-GAM-Reporting-for-KVPs-26c03985e9be80d1a478cf68b36e31da?pvs=21), TestPub (Jeffrey) (https://www.notion.so/TestPub-Jeffrey-28e03985e9be800bb841d03db318f45c?pvs=21)","The project aims to enable key-value pairs in GAM reporting to validate incremental RPS lift when Mula is in view. It is currently in progress, with a high priority assigned to it."
Audience Acuity Integration,In Progress,Logan Lorenz,High,0.75,"Review Audience Acuity Docs (https://www.notion.so/Review-Audience-Acuity-Docs-26c03985e9be80d19183e64787be9ee6?pvs=21), Implement test AA pixel (https://www.notion.so/Implement-test-AA-pixel-27203985e9be80b28795c878271fb9e2?pvs=21), Review Match Data (https://www.notion.so/Review-Match-Data-27203985e9be80a8ba90e0e1f6eb11ec?pvs=21), AA Targeting PRD (https://www.notion.so/AA-Targeting-PRD-27203985e9be805da0fcdca5d4ecbe39?pvs=21)","The project aims to test audience cohort data using a JavaScript snippet or API for improved feed selection. Initial tests will assess match rates and attribute penetration, with a data package as the deliverable. Strategic opportunities include segment-based targeting for monetization and establishing Mula as Audience Acuity’s distribution layer, enhancing publisher deployment and data signal amplification."
Next Article Recommendation,In Progress,Jason White,High,0.8,"Finalize Next Article Rec PRD (https://www.notion.so/Finalize-Next-Article-Rec-PRD-26c03985e9be809c9b28e9a3ff09ff8c?pvs=21), Add UTM parameters to links for attribution measurement (https://www.notion.so/Add-UTM-parameters-to-links-for-attribution-measurement-26c03985e9be800cb731d3528d1b29b5?pvs=21), Next Article PRD Phase 1 (https://www.notion.so/Next-Article-PRD-Phase-1-26c03985e9be803483f6ddac6a6e9ff7?pvs=21), MVP Demo (https://www.notion.so/MVP-Demo-27603985e9be8058985bd755f65eb8ef?pvs=21), Phase 2 (Pub Feedback) (https://www.notion.so/Phase-2-Pub-Feedback-27603985e9be80a6b03ce19249d2930d?pvs=21)","The project aims to enhance user engagement by recommending articles based on their popularity and context, utilizing UTM tracking to monitor sessions and page views. Tasks for the project are currently in progress and are prioritized as high."
Personalization & Fatigue Reduction,In Progress,Kale McNaney,Medium,0.5,"Scope light cookie-based personalization (https://www.notion.so/Scope-light-cookie-based-personalization-26c03985e9be8045b833ea0d44b7d148?pvs=21), Design a test to reorder offers dynamically (https://www.notion.so/Design-a-test-to-reorder-offers-dynamically-26c03985e9be809dadf4d8e6f6dd65d7?pvs=21)","The project aims to reduce user fatigue by reordering offers and testing cookie-based personalization, ultimately leading to the development of an audience graph."
Publisher Attribution Tests,In Progress,Logan Lorenz,High,0,"Brit+Co GAM KVP (https://www.notion.so/Brit-Co-GAM-KVP-26c03985e9be806ba37fefc31cfdc75d?pvs=21), On3 GAM KVP (https://www.notion.so/On3-GAM-KVP-26c03985e9be8025b7faf2fdb35f03c2?pvs=21)","The project aims to use On3 and Brit+Co to measure attribution and demonstrate ad-lift reporting, with tasks currently in progress and a high priority status."
Q4 Go-to-Market (Marketing),In Progress,Jason White,High,0,Prepare LinkedIn announcements (https://www.notion.so/Prepare-LinkedIn-announcements-26c03985e9be80f98a73da839885c676?pvs=21),"The project focuses on executing Q4 marketing initiatives, including Programmatic IO, Sell-Side Summit, advisor onboarding, and IB Tech Lab sponsorship."
Mula + Zeta Email Monetization Partnership,Backlog,Logan Lorenz,Medium,,,"Mula will provide product feeds for email monetization, while Zeta will manage rendering and distribution. The project is currently in the backlog with a medium priority."
Inventory Expansion Playbook,In Progress,Logan Lorenz,High,0,"Brit+Co taxonomy experiment (https://www.notion.so/Brit-Co-taxonomy-experiment-26d03985e9be80b7805bfd194723c29e?pvs=21), On3 taxonomy experiment (https://www.notion.so/On3-taxonomy-experiment-26d03985e9be801dab3ae24ec179b4f1?pvs=21)","The project aims to expand monetizable inventory through strategies like identifying high-value content clusters, curating product feeds, and measuring performance. Key updates include the ability to choose product catalogs, no keyword length limits for searches, and direct links to search results for improved workflow. This approach enhances scalability and customer success by allowing teams to operate independently and effectively showcase product sets to publishers."
Chic City Living Launch,In Progress,Logan Lorenz,Medium,,,No content
McClatchy Launch,In Progress,Logan Lorenz,,1,"McClatchy Amazon Associates Setup (https://www.notion.so/McClatchy-Amazon-Associates-Setup-27e03985e9be8018b8f4e8af2f50fad1?pvs=21), Placement + Targeting (https://www.notion.so/Placement-Targeting-28c03985e9be80ec8d49daca8eba6fae?pvs=21), Targeting (Slash Command) (https://www.notion.so/Targeting-Slash-Command-28c03985e9be80d5a053e84a625321f4?pvs=21)",No content
